"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"264","FAYETTE",2.211678e-01, -1,"ILLINOIS", -89.01793,  39.06696
"265","FAYETTE",2.239137e-01, -1,"INDIANA", -85.14794,  39.59204
"266","FAYETTE",1.879154e-01, -1,"IOWA", -91.80211,  42.84193
"267","SMITH",5.431923e-02, -1,"KANSAS", -98.74812,  39.73338
"268","FAYETTE",2.640489e-02, -1,"KENTUCKY", -84.48026,  38.06065
"269","SMITH",2.472390e-02, -1,"MISSISSIPPI", -89.47422,  32.08266
"270","FAYETTE",1.274254e-01, -1,"OHIO", -84.32689,  41.67338
"271","ROGERS",7.610215e-02, -1,"OKLAHOMA", -95.64580,  36.38981
"272","FAYETTE",1.563362e-01, -1,"PENNSYLVANIA", -79.65021,  39.92723
"273","FAYETTE",5.118263e-02, -1,"TENNESSEE", -89.47422,  35.12574
"274","SMITH",1.608906e-01, -1,"TENNESSEE", -85.97132,  36.23885
"275","FAYETTE",8.751484e-02, -1,"TEXAS", -96.83510,  29.88964
"276","SMITH",2.613111e-02, -1,"TEXAS", -95.31025,  32.33525
"277","FAYETTE",1.931475e-01, -1,"WEST VIRGINIA", -81.10399,  38.05289
"278","WICHITA",8.497061e-03, -2,"KANSAS", -97.33822,  37.69345
"279","HUTCHINSON",1.364971e-01, -2,"SOUTH DAKOTA", -97.69823,  43.30172
"280","HUTCHINSON",4.409550e-02, -2,"TEXAS", -96.71305,  32.64930
"281","WICHITA",6.320203e-02, -2,"TEXAS", -98.74812,  33.93097
"282","SIOUX",4.879303e-02, -4,"IOWA", -96.40494,  42.49634
"283","SIOUX",4.628766e-02, -4,"NEBRASKA",-103.72892,  42.50129
"284","SIOUX",9.731452e-02, -4,"NORTH DAKOTA",-101.11754,  46.05120
"285","HART",7.795211e-02,  2,"GEORGIA", -82.95016,  34.35000
"286","ELKHART",1.122393e-01,  2,"INDIANA", -85.97352,  41.68738
"287","ELK",1.259127e-01,  2,"KANSAS", -96.15270,  37.39364
"288","HART",9.706544e-02,  2,"KENTUCKY", -85.84862,  37.31013
"289","ELK",2.443483e-01,  2,"PENNSYLVANIA", -78.56609,  41.42849
"290","DECATUR",2.238581e-02,  8,"GEORGIA", -84.29631,  33.77483
"291","CHAMPAIGN",1.112405e-02,  8,"ILLINOIS", -88.24352,  40.11629
"292","DECATUR",1.764790e-01,  8,"INDIANA", -84.92913,  40.83060
"293","DECATUR",1.523191e-01,  8,"IOWA", -93.83383,  40.74194
"294","DECATUR",9.564826e-02,  8,"KANSAS",-100.52961,  39.74804
"295","CHAMPAIGN",1.319236e-01,  8,"OHIO", -83.80487,  40.10258
"296","DECATUR",1.360829e-01,  8,"TENNESSEE", -84.79022,  35.51479
"297","FAYETTE",8.445244e-02, -4,"ALABAMA", -87.83085,  33.68455
"298","FAYETTE",5.378646e-02, -4,"GEORGIA", -84.45504,  33.44863
"299","FAYETTE",2.211678e-01, -4,"ILLINOIS", -89.01793,  39.06696
"300","FAYETTE",2.239137e-01, -4,"INDIANA", -85.14794,  39.59204
"301","FAYETTE",1.879154e-01, -4,"IOWA", -91.80211,  42.84193
"302","FAYETTE",2.640489e-02, -4,"KENTUCKY", -84.48026,  38.06065
"303","DURHAM",4.871892e-02, -4,"NORTH CAROLINA", -78.90021,  35.99557
"304","FAYETTE",1.274254e-01, -4,"OHIO", -84.32689,  41.67338
"305","FAYETTE",1.563362e-01, -4,"PENNSYLVANIA", -79.65021,  39.92723
"306","FAYETTE",5.118263e-02, -4,"TENNESSEE", -89.47422,  35.12574
"307","FAYETTE",8.751484e-02, -4,"TEXAS", -96.83510,  29.88964
"308","FAYETTE",1.931475e-01, -4,"WEST VIRGINIA", -81.10399,  38.05289
