"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"232","SCOTT",1.694188e-02,NA,"KANSAS",-100.89031,  38.56253
"233","SCOTT",3.404960e-02,NA,"KENTUCKY", -84.56415,  38.31724
"234","SCOTT",4.966677e-02,NA,"MINNESOTA", -93.54079,  44.68341
"235","SCOTT",2.866266e-03,NA,"MISSISSIPPI", -91.07600,  33.59308
"236","SCOTT",6.658092e-04,NA,"MISSOURI", -89.62516,  37.03944
"237","CHEYENNE",2.068481e-02,NA,"NEBRASKA",-103.08179,  41.25093
"238","SCOTT",2.417182e-02,NA,"TENNESSEE", -84.52222,  36.39762
"239","SCOTT",5.332494e-02,NA,"VIRGINIA", -82.60512,  36.68158
"240","CEDAR",1.327670e-01,NA,"IOWA", -92.52575,  41.21223
"241","DUBUQUE",1.179221e-01,NA,"IOWA", -90.66775,  42.50636
"242","IOWA",1.068475e-01,NA,"IOWA", -93.09770,  41.87800
"243","CEDAR",2.453930e-03,NA,"MISSOURI", -93.86553,  37.70312
"244","CEDAR",8.822922e-03,NA,"NEBRASKA", -97.17903,  42.56103
"245","IOWA",1.117671e-02,NA,"WISCONSIN", -88.78787,  43.78444
"246","ALBANY",2.599227e-02,NA,"NEW YORK", -73.75447,  42.65181
"247","ALBANY",3.908058e-02,NA,"WYOMING",-106.13196,  41.18414
"248","MADISON",4.686569e-02,NA,"ALABAMA", -86.74833,  34.69926
"249","MADISON",3.392648e-01,NA,"ARKANSAS", -90.72246,  35.01317
"250","MADISON",1.900515e-02,NA,"FLORIDA", -83.41293,  30.46938
"251","MADISON",2.010378e-01,NA,"GEORGIA", -83.46794,  33.59568
"252","MADISON",4.589587e-02,NA,"IDAHO",-111.55837,  43.75083
"253","MADISON",1.423225e-02,NA,"ILLINOIS", -90.15705,  38.68255
"254","MADISON",1.997748e-02,NA,"INDIANA", -85.37996,  38.73589
"255","MADISON",1.110666e-01,NA,"IOWA", -93.98784,  41.29224
"256","MADISON",2.809088e-02,NA,"KENTUCKY", -84.31213,  37.71430
"257","MADISON",8.484175e-03,NA,"LOUISIANA", -91.28910,  32.44016
"258","MADISON",2.160317e-02,NA,"MISSISSIPPI", -90.11536,  32.46181
"259","MADISON",1.492186e-02,NA,"MISSOURI", -92.20990,  39.47365
"260","MADISON",3.347862e-02,NA,"MONTANA",-111.88650,  45.46673
"261","MADISON",2.234187e-02,NA,"NEBRASKA", -97.45496,  41.82798
"262","MADISON",2.312111e-02,NA,"NEW YORK", -75.51212,  42.89896
"263","MADISON",3.570611e-01,NA,"NORTH CAROLINA", -79.95949,  36.38542
"264","MADISON",4.865998e-04,NA,"OHIO", -81.04982,  41.77116
"265","MADISON",1.443625e-02,NA,"TENNESSEE", -86.71435,  36.25620
"266","MADISON",1.213658e-03,NA,"TEXAS", -95.91162,  30.94991
"267","MADISON",1.746213e-01,NA,"VIRGINIA", -78.25750,  38.38041
"268","KANE",1.742189e-02,NA,"ILLINOIS", -90.35373,  39.19005
"269","KANE",NA,NA,"UTAH",-112.42915,  37.29325
"270","SPOKANE",2.493340e-02,NA,"WASHINGTON",-117.42353,  47.65797
"271","BUFFALO",2.982799e-02,NA,"NEBRASKA", -99.83539,  40.98917
"272","BUFFALO",2.411095e-02,NA,"SOUTH DAKOTA",-103.54603,  45.58416
"273","BUFFALO",1.293223e-02,NA,"WISCONSIN", -91.86336,  44.23055
