DMA,Immigration: (11/8/18 - 11/8/19)
Miami-Ft. Lauderdale FL,100
El Paso TX,84
Washington DC (Hagerstown MD),82
Houston TX,80
New York NY,79
San Francisco-Oakland-San Jose CA,79
Harlingen-Weslaco-Brownsville-McAllen TX,76
Laredo TX,75
Monterey-Salinas CA,74
West Palm Beach-Ft. Pierce FL,74
Fresno-Visalia CA,71
Los Angeles CA,71
Yuma AZ-El Centro CA,68
San Diego CA,66
Tucson (Sierra Vista) AZ,66
San Antonio TX,64
Austin TX,64
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Sacramento-Stockton-Modesto CA,62
Ft. Myers-Naples FL,61
Las Vegas NV,61
Bakersfield CA,60
Boston MA-Manchester NH,60
Chicago IL,59
Charlottesville VA,59
Hartford & New Haven CT,59
Seattle-Tacoma WA,59
Dallas-Ft. Worth TX,56
Waco-Temple-Bryan TX,55
Palm Springs CA,55
Madison WI,54
Minneapolis-St. Paul MN,54
Philadelphia PA,54
Des Moines-Ames IA,54
Baltimore MD,54
Phoenix AZ,53
Orlando-Daytona Beach-Melbourne FL,53
Yakima-Pasco-Richland-Kennewick WA,53
Harrisonburg VA,53
Albuquerque-Santa Fe NM,53
Portland OR,52
Providence RI-New Bedford MA,52
Portland-Auburn ME,52
Amarillo TX,52
Denver CO,52
Reno NV,51
Wichita-Hutchinson KS,51
Sioux City IA,51
Springfield-Holyoke MA,50
Odessa-Midland TX,50
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,49
Atlanta GA,49
Honolulu HI,48
Salt Lake City UT,48
Tampa-St. Petersburg (Sarasota) FL,48
Twin Falls ID,48
Lincoln & Hastings-Kearney NE,48
Albany-Schenectady-Troy NY,48
Ottumwa IA-Kirksville MO,48
Charlotte NC,48
Juneau AK,47
Gainesville FL,47
Richmond-Petersburg VA,47
Columbus OH,47
Mankato MN,47
Presque Isle ME,46
Indianapolis IN,46
Lafayette IN,46
Greensboro-High Point-Winston Salem NC,45
Eureka CA,45
Oklahoma City OK,45
Kansas City MO,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Detroit MI,45
Omaha NE,44
Syracuse NY,44
Grand Junction-Montrose CO,44
Lubbock TX,44
Raleigh-Durham (Fayetteville) NC,44
Fairbanks AK,44
Rochester MN-Mason City IA-Austin MN,44
Binghamton NY,44
Columbia SC,43
Chico-Redding CA,43
Bangor ME,43
Joplin MO-Pittsburg KS,43
Victoria TX,43
Topeka KS,43
Beaumont-Port Arthur TX,43
Idaho Falls-Pocatello ID,43
Burlington VT-Plattsburgh NY,42
Spokane WA,42
South Bend-Elkhart IN,42
Tyler-Longview(Lufkin & Nacogdoches) TX,42
Milwaukee WI,42
San Angelo TX,42
Green Bay-Appleton WI,42
Rochester NY,42
Jacksonville FL,41
Harrisburg-Lancaster-Lebanon-York PA,41
Rockford IL,41
Eugene OR,41
Wausau-Rhinelander WI,40
Champaign & Springfield-Decatur IL,40
Salisbury MD,40
Helena MT,40
Corpus Christi TX,40
Tulsa OK,40
Louisville KY,40
Medford-Klamath Falls OR,40
Grand Rapids-Kalamazoo-Battle Creek MI,40
Norfolk-Portsmouth-Newport News VA,40
Buffalo NY,39
New Orleans LA,39
La Crosse-Eau Claire WI,39
Utica NY,39
Colorado Springs-Pueblo CO,39
Columbia-Jefferson City MO,39
Cheyenne WY-Scottsbluff NE,39
Cincinnati OH,39
Tallahassee FL-Thomasville GA,39
Sioux Falls(Mitchell) SD,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Wichita Falls TX & Lawton OK,38
North Platte NE,38
Jonesboro AR,38
Anchorage AK,38
Peoria-Bloomington IL,38
Sherman TX-Ada OK,38
Charleston SC,38
Boise ID,38
Watertown NY,38
Lansing MI,38
Abilene-Sweetwater TX,38
Wilmington NC,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,37
Davenport IA-Rock Island-Moline IL,37
Bend OR,37
Bowling Green KY,37
Casper-Riverton WY,37
Savannah GA,37
St. Louis MO,37
Duluth MN-Superior WI,37
Little Rock-Pine Bluff AR,37
Wilkes Barre-Scranton PA,37
Butte-Bozeman MT,36
Memphis TN,36
Fargo-Valley City ND,36
Pittsburgh PA,36
Minot-Bismarck-Dickinson(Williston) ND,36
Greenwood-Greenville MS,36
Nashville TN,36
Chattanooga TN,36
Albany GA,35
Montgomery (Selma) AL,35
Florence-Myrtle Beach SC,35
Baton Rouge LA,35
Cleveland-Akron (Canton) OH,35
Elmira NY,35
Birmingham AL,35
St. Joseph MO,35
Lexington KY,35
Marquette MI,35
Panama City FL,35
Lake Charles LA,35
Rapid City SD,34
Hattiesburg-Laurel MS,34
Knoxville TN,34
Ft. Wayne IN,34
Huntsville-Decatur (Florence) AL,34
Erie PA,33
Columbus GA,33
Missoula MT,33
Meridian MS,33
Macon GA,33
Roanoke-Lynchburg VA,33
Dayton OH,33
Biloxi-Gulfport MS,33
Evansville IN,32
Greenville-New Bern-Washington NC,32
Lima OH,32
Great Falls MT,32
Terre Haute IN,32
Quincy IL-Hannibal MO-Keokuk IA,32
Traverse City-Cadillac MI,31
Shreveport LA,31
Springfield MO,31
Monroe LA-El Dorado AR,31
Jackson TN,31
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,31
Toledo OH,31
Alexandria LA,31
Columbus-Tupelo-West Point MS,31
Lafayette LA,31
Jackson MS,30
Johnstown-Altoona PA,30
Tri-Cities TN-VA,30
Youngstown OH,29
"Billings, MT",29
Flint-Saginaw-Bay City MI,29
Augusta GA,28
Dothan AL,28
Wheeling WV-Steubenville OH,27
Parkersburg WV,27
Charleston-Huntington WV,26
Clarksburg-Weston WV,25
Alpena MI,24
Bluefield-Beckley-Oak Hill WV,23
Zanesville OH,21
Glendive MT,
