DMA,Immigration: (11/8/22 - 11/8/23)
Miami-Ft. Lauderdale FL,100
El Paso TX,71
West Palm Beach-Ft. Pierce FL,66
Ft. Myers-Naples FL,66
New York NY,62
Harlingen-Weslaco-Brownsville-McAllen TX,60
San Francisco-Oakland-San Jose CA,59
Washington DC (Hagerstown MD),59
Houston TX,58
Laredo TX,57
Los Angeles CA,56
Fresno-Visalia CA,54
Orlando-Daytona Beach-Melbourne FL,54
Bakersfield CA,52
Boston MA-Manchester NH,52
Tampa-St. Petersburg (Sarasota) FL,52
Dallas-Ft. Worth TX,51
Yuma AZ-El Centro CA,51
Monterey-Salinas CA,50
Yakima-Pasco-Richland-Kennewick WA,50
Chicago IL,49
San Diego CA,49
San Antonio TX,48
Sacramento-Stockton-Modesto CA,48
Austin TX,47
Seattle-Tacoma WA,47
Santa Barbara-Santa Maria-San Luis Obispo CA,46
Hartford & New Haven CT,45
Odessa-Midland TX,45
Las Vegas NV,44
Tucson (Sierra Vista) AZ,43
Palm Springs CA,43
Phoenix AZ,43
Providence RI-New Bedford MA,42
Atlanta GA,42
Panama City FL,42
Amarillo TX,39
Waco-Temple-Bryan TX,39
Denver CO,39
Raleigh-Durham (Fayetteville) NC,38
Twin Falls ID,38
Gainesville FL,38
Philadelphia PA,38
Sioux City IA,38
Minneapolis-St. Paul MN,38
Baltimore MD,38
Lafayette IN,37
Indianapolis IN,37
Salt Lake City UT,37
Harrisonburg VA,37
Albuquerque-Santa Fe NM,37
Jacksonville FL,37
Springfield-Holyoke MA,37
Columbus OH,37
Portland OR,35
San Angelo TX,35
Beaumont-Port Arthur TX,34
Lubbock TX,34
Reno NV,34
Honolulu HI,34
Albany-Schenectady-Troy NY,34
Charlotte NC,34
Mankato MN,34
Wichita-Hutchinson KS,33
New Orleans LA,33
Richmond-Petersburg VA,33
Greensboro-High Point-Winston Salem NC,33
Corpus Christi TX,32
Ft. Smith-Fayetteville-Springdale-Rogers AR,32
Omaha NE,32
Lincoln & Hastings-Kearney NE,32
Madison WI,32
Tallahassee FL-Thomasville GA,32
Louisville KY,32
Rochester MN-Mason City IA-Austin MN,32
Kansas City MO,32
Portland-Auburn ME,32
Oklahoma City OK,31
Chico-Redding CA,31
Wichita Falls TX & Lawton OK,31
Des Moines-Ames IA,30
Tyler-Longview(Lufkin & Nacogdoches) TX,30
Meridian MS,30
Buffalo NY,30
Harrisburg-Lancaster-Lebanon-York PA,30
Rockford IL,30
Savannah GA,30
Albany GA,30
Syracuse NY,30
Cheyenne WY-Scottsbluff NE,30
Champaign & Springfield-Decatur IL,30
Norfolk-Portsmouth-Newport News VA,30
Tulsa OK,29
Mobile AL-Pensacola (Ft. Walton Beach) FL,29
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,29
Grand Junction-Montrose CO,29
Idaho Falls-Pocatello ID,29
Detroit MI,29
Charlottesville VA,29
Victoria TX,29
Bowling Green KY,29
Binghamton NY,29
Juneau AK,29
Memphis TN,29
South Bend-Elkhart IN,29
Columbia SC,28
Colorado Springs-Pueblo CO,28
Salisbury MD,28
Nashville TN,28
Cincinnati OH,28
Milwaukee WI,28
Baton Rouge LA,28
Montgomery (Selma) AL,28
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Glendive MT,28
Lake Charles LA,28
Sherman TX-Ada OK,27
Utica NY,27
Wilkes Barre-Scranton PA,27
Burlington VT-Plattsburgh NY,27
Ottumwa IA-Kirksville MO,27
Eureka CA,27
Watertown NY,27
Columbus GA,27
Grand Rapids-Kalamazoo-Battle Creek MI,27
Peoria-Bloomington IL,27
Abilene-Sweetwater TX,26
Spokane WA,26
Topeka KS,26
Florence-Myrtle Beach SC,26
Lansing MI,26
Medford-Klamath Falls OR,26
Columbia-Jefferson City MO,26
Anchorage AK,25
Shreveport LA,25
Charleston SC,25
Greenwood-Greenville MS,25
Columbus-Tupelo-West Point MS,25
Boise ID,25
Joplin MO-Pittsburg KS,25
Eugene OR,25
Sioux Falls(Mitchell) SD,25
Chattanooga TN,25
Macon GA,25
Minot-Bismarck-Dickinson(Williston) ND,24
Cleveland-Akron (Canton) OH,24
Rochester NY,24
La Crosse-Eau Claire WI,24
Fargo-Valley City ND,24
Hattiesburg-Laurel MS,24
Knoxville TN,24
Lafayette LA,24
Fairbanks AK,24
Pittsburgh PA,24
Wausau-Rhinelander WI,24
St. Louis MO,24
Roanoke-Lynchburg VA,24
Ft. Wayne IN,23
Huntsville-Decatur (Florence) AL,23
Little Rock-Pine Bluff AR,23
Biloxi-Gulfport MS,23
Monroe LA-El Dorado AR,23
Jackson MS,23
Birmingham AL,23
Rapid City SD,23
Johnstown-Altoona PA,23
Presque Isle ME,23
St. Joseph MO,23
Green Bay-Appleton WI,23
Lexington KY,23
Davenport IA-Rock Island-Moline IL,23
Elmira NY,22
Erie PA,22
Greenville-New Bern-Washington NC,22
Wilmington NC,22
Dayton OH,22
Casper-Riverton WY,22
Quincy IL-Hannibal MO-Keokuk IA,22
Alexandria LA,21
Marquette MI,21
Augusta GA,21
North Platte NE,21
Evansville IN,21
Duluth MN-Superior WI,21
Alpena MI,21
Lima OH,20
Jackson TN,20
Bangor ME,20
Great Falls MT,20
Butte-Bozeman MT,20
Springfield MO,19
Jonesboro AR,19
Dothan AL,19
Toledo OH,19
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,19
Helena MT,19
Flint-Saginaw-Bay City MI,18
Missoula MT,18
Tri-Cities TN-VA,18
Bend OR,18
Terre Haute IN,18
Traverse City-Cadillac MI,18
Zanesville OH,18
Youngstown OH,18
"Billings, MT",18
Clarksburg-Weston WV,17
Wheeling WV-Steubenville OH,17
Bluefield-Beckley-Oak Hill WV,17
Charleston-Huntington WV,16
Parkersburg WV,14
