Category: All categories

Region,Immigration: (11/4/08 - 11/6/12)
District of Columbia,100
New Jersey,80
New York,77
Nevada,75
Florida,72
Arizona,70
Maryland,69
Connecticut,68
Texas,67
California,66
Utah,65
Massachusetts,65
Rhode Island,64
Delaware,63
Hawaii,61
New Mexico,61
Colorado,60
Illinois,59
Idaho,59
Washington,58
Georgia,58
Alabama,58
Nebraska,56
Virginia,55
Iowa,54
Oregon,53
Minnesota,52
Wisconsin,52
Indiana,52
Kansas,52
Pennsylvania,50
Arkansas,49
Michigan,48
New Hampshire,48
North Carolina,48
Wyoming,47
South Carolina,47
Oklahoma,47
Missouri,46
Tennessee,45
Vermont,45
Ohio,45
Maine,44
Kentucky,42
Mississippi,42
South Dakota,38
Alaska,38
North Dakota,37
West Virginia,36
Louisiana,36
Montana,32
