Category: All categories

Region,Immigration: (1/1/04 - 11/4/08)
District of Columbia,100
New York,79
Maryland,73
California,73
New Jersey,72
Illinois,68
Arizona,68
Florida,67
Nevada,65
Connecticut,65
Massachusetts,62
Washington,61
Texas,61
Colorado,60
Minnesota,60
Rhode Island,59
Utah,58
Virginia,58
Hawaii,56
Georgia,56
Iowa,56
New Mexico,55
Nebraska,54
Michigan,53
Indiana,52
Oregon,52
Delaware,52
Wisconsin,50
North Carolina,50
Maine,49
Kansas,49
Pennsylvania,49
New Hampshire,48
Missouri,47
Ohio,47
Vermont,46
Wyoming,46
Oklahoma,46
South Carolina,45
Idaho,44
Tennessee,43
Arkansas,42
Kentucky,42
North Dakota,41
Alaska,39
South Dakota,38
Montana,38
Alabama,38
Mississippi,36
Louisiana,35
West Virginia,33
