Category: All categories

DMA,Immigration: (1/1/04 - 11/4/08)
Yuma AZ-El Centro CA,100
Miami-Ft. Lauderdale FL,84
Harlingen-Weslaco-Brownsville-McAllen TX,74
Alpena MI,73
Washington DC (Hagerstown MD),72
New York NY,71
El Paso TX,71
West Palm Beach-Ft. Pierce FL,69
Bangor ME,67
Los Angeles CA,67
Laredo TX,66
Grand Junction-Montrose CO,61
Monterey-Salinas CA,61
Fresno-Visalia CA,58
Houston TX,58
Chicago IL,57
Tucson (Sierra Vista) AZ,56
Ft. Myers-Naples FL,56
Eureka CA,54
San Diego CA,54
Boston MA-Manchester NH,54
San Francisco-Oakland-San Jose CA,54
Sacramento-Stockton-Modesto CA,53
Hartford & New Haven CT,53
Palm Springs CA,53
Yakima-Pasco-Richland-Kennewick WA,53
Seattle-Tacoma WA,51
Twin Falls ID,51
Providence RI-New Bedford MA,51
Bakersfield CA,51
Las Vegas NV,51
Minneapolis-St. Paul MN,49
Baltimore MD,49
Honolulu HI,49
Dallas-Ft. Worth TX,49
Phoenix AZ,48
Odessa-Midland TX,48
Richmond-Petersburg VA,48
Austin TX,48
Atlanta GA,48
Amarillo TX,48
Peoria-Bloomington IL,48
Lincoln & Hastings-Kearney NE,47
Denver CO,47
Orlando-Daytona Beach-Melbourne FL,47
Harrisonburg VA,47
Springfield-Holyoke MA,46
Butte-Bozeman MT,46
San Antonio TX,46
Reno NV,46
Tallahassee FL-Thomasville GA,46
Victoria TX,46
Syracuse NY,46
Santa Barbara-Santa Maria-San Luis Obispo CA,45
Salt Lake City UT,45
Philadelphia PA,45
Detroit MI,45
Lafayette IN,45
Albuquerque-Santa Fe NM,45
Milwaukee WI,45
Buffalo NY,45
Utica NY,45
Columbia-Jefferson City MO,45
Lansing MI,44
Salisbury MD,44
Lexington KY,44
Quincy IL-Hannibal MO-Keokuk IA,44
Columbus OH,44
Ft. Smith-Fayetteville-Springdale-Rogers AR,44
Mankato MN,44
Wichita-Hutchinson KS,44
Sioux City IA,43
South Bend-Elkhart IN,43
Champaign & Springfield-Decatur IL,43
Raleigh-Durham (Fayetteville) NC,43
Juneau AK,43
