Category: All categories

DMA,Immigration: (1/1/04 - 11/4/08)
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,43
Indianapolis IN,42
Cincinnati OH,42
North Platte NE,42
Corpus Christi TX,42
Tampa-St. Petersburg (Sarasota) FL,42
Greenwood-Greenville MS,42
Jacksonville FL,42
Topeka KS,42
Chico-Redding CA,42
Lubbock TX,42
Davenport IA-Rock Island-Moline IL,41
Madison WI,41
Eugene OR,41
Portland OR,40
Ottumwa IA-Kirksville MO,40
Waco-Temple-Bryan TX,40
Binghamton NY,40
Albany-Schenectady-Troy NY,40
Joplin MO-Pittsburg KS,40
Gainesville FL,39
Medford-Klamath Falls OR,39
Charlotte NC,39
Sherman TX-Ada OK,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Spokane WA,39
Grand Rapids-Kalamazoo-Battle Creek MI,39
Cheyenne WY-Scottsbluff NE,38
Burlington VT-Plattsburgh NY,38
Nashville TN,38
Florence-Myrtle Beach SC,38
Oklahoma City OK,38
Presque Isle ME,38
Omaha NE,38
Kansas City MO,38
Colorado Springs-Pueblo CO,37
Tulsa OK,37
Harrisburg-Lancaster-Lebanon-York PA,37
Wausau-Rhinelander WI,37
Greensboro-High Point-Winston Salem NC,37
Des Moines-Ames IA,37
Columbus GA,36
Rockford IL,36
Minot-Bismarck-Dickinson(Williston) ND,36
Fairbanks AK,36
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,36
Idaho Falls-Pocatello ID,36
Hattiesburg-Laurel MS,36
Monroe LA-El Dorado AR,36
Duluth MN-Superior WI,35
"Billings, MT",35
Traverse City-Cadillac MI,35
Rochester MN-Mason City IA-Austin MN,35
Fargo-Valley City ND,35
Wichita Falls TX & Lawton OK,35
Elmira NY,35
Charleston SC,35
Charlottesville VA,35
Ft. Wayne IN,34
Chattanooga TN,34
Youngstown OH,34
Tyler-Longview(Lufkin & Nacogdoches) TX,34
Albany GA,34
Lima OH,34
Casper-Riverton WY,34
Rochester NY,34
Norfolk-Portsmouth-Newport News VA,34
St. Joseph MO,34
Zanesville OH,34
Boise ID,34
Savannah GA,34
Jonesboro AR,34
Beaumont-Port Arthur TX,33
Erie PA,33
Anchorage AK,33
Pittsburgh PA,33
San Angelo TX,33
Abilene-Sweetwater TX,33
Johnstown-Altoona PA,33
Great Falls MT,33
Wheeling WV-Steubenville OH,33
Montgomery (Selma) AL,33
Augusta GA,32
Wilkes Barre-Scranton PA,32
St. Louis MO,32
Panama City FL,32
Roanoke-Lynchburg VA,32
Columbia SC,32
La Crosse-Eau Claire WI,32
Rapid City SD,32
Sioux Falls(Mitchell) SD,32
Cleveland-Akron (Canton) OH,32
Springfield MO,31
Knoxville TN,31
Helena MT,31
Toledo OH,31
Memphis TN,31
Green Bay-Appleton WI,31
Terre Haute IN,31
Little Rock-Pine Bluff AR,31
Wilmington NC,31
Missoula MT,30
Jackson MS,30
Watertown NY,30
Macon GA,30
Louisville KY,30
Biloxi-Gulfport MS,30
Marquette MI,30
Flint-Saginaw-Bay City MI,30
Bend OR,30
Dayton OH,29
Huntsville-Decatur (Florence) AL,29
Portland-Auburn ME,28
Baton Rouge LA,28
Greenville-New Bern-Washington NC,28
Birmingham AL,28
Columbus-Tupelo-West Point MS,28
Bowling Green KY,28
New Orleans LA,28
Evansville IN,27
Mobile AL-Pensacola (Ft. Walton Beach) FL,27
Clarksburg-Weston WV,26
Jackson TN,26
Alexandria LA,25
Lake Charles LA,25
Bluefield-Beckley-Oak Hill WV,25
Charleston-Huntington WV,25
Shreveport LA,24
Tri-Cities TN-VA,23
Meridian MS,23
Parkersburg WV,22
Lafayette LA,21
Dothan AL,19
Glendive MT,
