"","Region","query_incidence","daterange","City","DMA"
"557","South Dakota",36,"12-16",NA,NA
"558","Kentucky",36,"12-16",NA,NA
"559","Alabama",36,"12-16",NA,NA
"560","Louisiana",34,"12-16",NA,NA
"561","Mississippi",33,"12-16",NA,NA
"562","West Virginia",29,"12-16",NA,NA
"563","Montana",28,"12-16",NA,NA
"564",NA,100,"12-16","Elizabeth",NA
"565",NA,NA,"12-16","Carteret",NA
"566",NA,85,"12-16","Jersey City",NA
"567",NA,84,"12-16","Edison",NA
"568",NA,NA,"12-16","Union City",NA
"569",NA,NA,"12-16","East Orange",NA
"570",NA,NA,"12-16","Lauderhill",NA
"571",NA,NA,"12-16","West New York",NA
"572",NA,NA,"12-16","Kearny",NA
"573",NA,NA,"12-16","Perth Amboy",NA
"574",NA,NA,"12-16","San Bruno",NA
"575",NA,NA,"12-16","North Bergen",NA
"576",NA,76,"12-16","Newark",NA
"577",NA,NA,"12-16","Malden",NA
"578",NA,NA,"12-16","Huntington Park",NA
"579",NA,74,"12-16","Silver Spring",NA
"580",NA,NA,"12-16","Woodlawn",NA
"581",NA,NA,"12-16","North Miami Beach",NA
"582",NA,NA,"12-16","Union City",NA
"583",NA,NA,"12-16","Hallandale Beach",NA
"584",NA,NA,"12-16","Greenbelt",NA
"585",NA,NA,"12-16","West Falls Church",NA
"586",NA,70,"12-16","Allen Park",NA
"587",NA,NA,"12-16","Secaucus",NA
"588",NA,NA,"12-16","Woodbridge Township",NA
"589",NA,NA,"12-16","Rockville",NA
"590",NA,NA,"12-16","College Park",NA
"591",NA,NA,"12-16","Brentwood",NA
"592",NA,NA,"12-16","Mount Vernon",NA
"593",NA,NA,"12-16","Fremont",NA
"594",NA,NA,"12-16","Wheaton-Glenmont",NA
"595",NA,NA,"12-16","Colmar Manor",NA
"596",NA,NA,"12-16","Key West",NA
"597",NA,NA,"12-16","Norridge",NA
"598",NA,NA,"12-16","Lake Worth",NA
"599",NA,66,"12-16","Arlington",NA
"600",NA,NA,"12-16","Hempstead",NA
"601",NA,NA,"12-16","Skokie",NA
"602",NA,NA,"12-16","North Decatur",NA
"603",NA,NA,"12-16","Passaic",NA
"604",NA,64,"12-16","Newark",NA
"605",NA,NA,"12-16","Fairfax",NA
"606",NA,NA,"12-16","Palos Hills",NA
"607",NA,NA,"12-16","Paterson",NA
"608",NA,63,"12-16","Washington",NA
"609",NA,NA,"12-16","Union",NA
"610",NA,NA,"12-16","Lynbrook",NA
"611",NA,NA,"12-16","Margate",NA
"612",NA,62,"12-16","Irving",NA
"613",NA,NA,"12-16","Salem",NA
"614",NA,NA,"12-16","Little Falls",NA
"615",NA,NA,"12-16","Addison",NA
"616",NA,NA,"12-16","Nanuet",NA
"617",NA,NA,"12-16","Edinburg",NA
"618",NA,NA,"12-16","Merrifield",NA
"619",NA,NA,"12-16","Teaneck",NA
"620",NA,NA,"12-16","University Park",NA
"621",NA,NA,"12-16","Harlingen",NA
"622",NA,NA,"12-16","Valley Stream",NA
"623",NA,NA,"12-16","West Orange",NA
"624",NA,61,"12-16","New York",NA
"625",NA,NA,"12-16","Bridgeport",NA
"626",NA,NA,"12-16","Ridgefield",NA
"627",NA,NA,"12-16","Stamford",NA
"628",NA,NA,"12-16","North Miami",NA
"629",NA,NA,"12-16","Gaithersburg",NA
"630",NA,NA,"12-16","South Plainfield",NA
"631",NA,NA,"12-16","Beltsville",NA
"632",NA,NA,"12-16","Combes",NA
"633",NA,NA,"12-16","Doral",NA
"634",NA,NA,"12-16","Old Bridge Township",NA
"635",NA,NA,"12-16","Annandale",NA
"636",NA,NA,"12-16","Clifton",NA
"637",NA,NA,"12-16","Palm Springs",NA
"638",NA,NA,"12-16","Montgomery Village",NA
"639",NA,NA,"12-16","South Gate",NA
"640",NA,NA,"12-16","Berwyn",NA
"641",NA,NA,"12-16","Hoboken",NA
"642",NA,NA,"12-16","Framingham",NA
"643",NA,NA,"12-16","The Hammocks",NA
"644",NA,NA,"12-16","Linden",NA
"645",NA,NA,"12-16","Deerfield Beach",NA
"646",NA,NA,"12-16","El Cerrito",NA
"647",NA,NA,"12-16","Brownsville",NA
"648",NA,NA,"12-16","Des Plaines",NA
"649",NA,NA,"12-16","Danbury",NA
"650",NA,NA,"12-16","Hawthorne",NA
"651",NA,NA,"12-16","Aventura",NA
"652",NA,NA,"12-16","Daly City",NA
"653",NA,NA,"12-16","Medford",NA
"654",NA,NA,"12-16","Miami Gardens",NA
"655",NA,NA,"12-16","Pompano Beach",NA
"656",NA,NA,"12-16","Hicksville",NA
"657",NA,NA,"12-16","Pasco",NA
"658",NA,NA,"12-16","Clarksburg",NA
"659",NA,NA,"12-16","Fair Lawn",NA
"660",NA,NA,"12-16","Woodbridge",NA
"661",NA,NA,"12-16","Mission Bend",NA
"662",NA,NA,"12-16","East Los Angeles",NA
"663",NA,NA,"12-16","Hunters Creek",NA
"664",NA,NA,"12-16","Sunrise",NA
"665",NA,NA,"12-16","Richmond",NA
"666",NA,NA,"12-16","Piscataway Township",NA
"667",NA,NA,"12-16","North Lauderdale",NA
"668",NA,NA,"12-16","Rose Hill",NA
"669",NA,NA,"12-16","Owings Mills",NA
"670",NA,NA,"12-16","Sugar Land",NA
"671",NA,NA,"12-16","Coral Gables",NA
"672",NA,NA,"12-16","New City",NA
"673",NA,NA,"12-16","Marlborough",NA
"674",NA,NA,"12-16","Baldwin Park",NA
"675",NA,NA,"12-16","Springfield",NA
"676",NA,NA,"12-16","Hackensack",NA
"677",NA,55,"12-16","Miami Beach",NA
"678",NA,NA,"12-16","Hampton Bays",NA
"679",NA,NA,"12-16","Lilburn",NA
"680",NA,NA,"12-16","Waukegan",NA
"681",NA,NA,"12-16","West Windsor Township",NA
"682",NA,NA,"12-16","East Brunswick",NA
"683",NA,NA,"12-16","Oakland Park",NA
"684",NA,NA,"12-16","Homestead",NA
"685",NA,NA,"12-16","Elk Grove Village",NA
"686",NA,54,"12-16","Berkeley",NA
"687",NA,NA,"12-16","Fontainebleau",NA
"688",NA,NA,"12-16","Mount Vernon",NA
"689",NA,NA,"12-16","El Monte",NA
"690",NA,NA,"12-16","Fort Lee",NA
"691",NA,NA,"12-16","Bayonne",NA
"692",NA,NA,"12-16","Claremont",NA
"693",NA,NA,"12-16","Hayward",NA
"694",NA,NA,"12-16","Country Club",NA
"695",NA,NA,"12-16","South Brunswick Township",NA
"696",NA,53,"12-16","Yonkers",NA
"697",NA,NA,"12-16","Maplewood",NA
"698",NA,53,"12-16","Pasadena",NA
"699",NA,NA,"12-16","Rowland Heights",NA
"700",NA,NA,"12-16","Pine Hills",NA
"701",NA,NA,"12-16","Trenton",NA
"702",NA,NA,"12-16","Herndon",NA
"703",NA,NA,"12-16","Carson",NA
"704",NA,NA,"12-16","Somerville",NA
"705",NA,NA,"12-16","Lynn",NA
"706",NA,NA,"12-16","North Bethesda",NA
"707",NA,NA,"12-16","Rahway",NA
"708",NA,NA,"12-16","Bellflower",NA
"709",NA,NA,"12-16","Mission",NA
"710",NA,NA,"12-16","Arlington Heights",NA
"711",NA,NA,"12-16","Pawtucket",NA
"712",NA,NA,"12-16","Rolling Meadows",NA
"713",NA,52,"12-16","Sunnyvale",NA
"714",NA,52,"12-16","Santa Ana",NA
"715",NA,52,"12-16","Cambridge",NA
"716",NA,NA,"12-16","Tucker",NA
"717",NA,NA,"12-16","Hollywood",NA
"718",NA,NA,"12-16","New Carrollton",NA
"719",NA,NA,"12-16","Miami Lakes",NA
"720",NA,52,"12-16","Miami",NA
"721",NA,NA,"12-16","Glendale",NA
"722",NA,NA,"12-16","Cerritos",NA
"723",NA,NA,"12-16","Hauppauge",NA
"724",NA,NA,"12-16","San Gabriel",NA
"725",NA,NA,"12-16","Melrose",NA
"726",NA,NA,"12-16","Manassas",NA
"727",NA,NA,"12-16","Hyattsville",NA
"728",NA,NA,"12-16","Stanton",NA
"729",NA,NA,"12-16","Groveton",NA
"730",NA,NA,"12-16","Warren",NA
"731",NA,NA,"12-16","White Plains",NA
"732",NA,50,"12-16","Boca Raton",NA
"733",NA,NA,"12-16","Stanford",NA
"734",NA,50,"12-16","Santa Clara",NA
"735",NA,NA,"12-16","Franklin Township",NA
"736",NA,NA,"12-16","Short Pump",NA
"737",NA,50,"12-16","Fort Lauderdale",NA
"738",NA,NA,"12-16","Princeton",NA
"739",NA,NA,"12-16","Randolph",NA
"740",NA,NA,"12-16","Wheeling",NA
"741",NA,NA,"12-16","Harrison",NA
"742",NA,NA,"12-16","Compton",NA
"743",NA,NA,"12-16","Worcester",NA
"744",NA,NA,"12-16","Norwalk",NA
"745",NA,NA,"12-16","Cinco Ranch",NA
"746",NA,NA,"12-16","Brambleton",NA
"747",NA,NA,"12-16","San Leandro",NA
"748",NA,NA,"12-16","Hoffman Estates",NA
"749",NA,49,"12-16","Oakland",NA
"750",NA,NA,"12-16","Watertown",NA
"751",NA,NA,"12-16","Miramar",NA
"752",NA,NA,"12-16","Perris",NA
"753",NA,NA,"12-16","McLean",NA
"754",NA,49,"12-16","Riverside",NA
"755",NA,NA,"12-16","East Hartford",NA
"756",NA,NA,"12-16","Cupertino",NA
"757",NA,NA,"12-16","New Rochelle",NA
"758",NA,NA,"12-16","Madera",NA
"759",NA,NA,"12-16","Potomac Falls",NA
"760",NA,NA,"12-16","Greenwich",NA
"761",NA,NA,"12-16","Alhambra",NA
"762",NA,NA,"12-16","Weston",NA
"763",NA,48,"12-16","West Palm Beach",NA
"764","District of Columbia",100,"16-20",NA,NA
"765","New York",61,"16-20",NA,NA
"766","California",61,"16-20",NA,NA
"767","New Jersey",60,"16-20",NA,NA
"768","Massachusetts",59,"16-20",NA,NA
"769","Texas",55,"16-20",NA,NA
"770","Maryland",54,"16-20",NA,NA
"771","Florida",52,"16-20",NA,NA
"772","Connecticut",52,"16-20",NA,NA
"773","Virginia",52,"16-20",NA,NA
"774","Illinois",50,"16-20",NA,NA
"775","Washington",49,"16-20",NA,NA
"776","Nevada",47,"16-20",NA,NA
"777","Rhode Island",46,"16-20",NA,NA
"778","Arizona",46,"16-20",NA,NA
"779","Oregon",45,"16-20",NA,NA
"780","Colorado",44,"16-20",NA,NA
"781","Minnesota",43,"16-20",NA,NA
"782","Kansas",42,"16-20",NA,NA
"783","New Mexico",41,"16-20",NA,NA
"784","Maine",40,"16-20",NA,NA
"785","Delaware",40,"16-20",NA,NA
"786","Nebraska",40,"16-20",NA,NA
"787","North Carolina",40,"16-20",NA,NA
"788","Georgia",40,"16-20",NA,NA
"789","Utah",40,"16-20",NA,NA
"790","Hawaii",39,"16-20",NA,NA
"791","Vermont",39,"16-20",NA,NA
"792","Iowa",38,"16-20",NA,NA
"793","Wisconsin",38,"16-20",NA,NA
"794","Pennsylvania",37,"16-20",NA,NA
"795","New Hampshire",37,"16-20",NA,NA
"796","Idaho",36,"16-20",NA,NA
"797","Michigan",36,"16-20",NA,NA
"798","Oklahoma",35,"16-20",NA,NA
"799","Indiana",35,"16-20",NA,NA
"800","Alaska",33,"16-20",NA,NA
"801","Wyoming",33,"16-20",NA,NA
"802","Arkansas",33,"16-20",NA,NA
"803","South Carolina",33,"16-20",NA,NA
"804","South Dakota",32,"16-20",NA,NA
"805","North Dakota",32,"16-20",NA,NA
"806","Tennessee",31,"16-20",NA,NA
"807","Louisiana",31,"16-20",NA,NA
"808","Ohio",31,"16-20",NA,NA
"809","Missouri",31,"16-20",NA,NA
"810","Kentucky",29,"16-20",NA,NA
"811","Alabama",28,"16-20",NA,NA
"812","Mississippi",27,"16-20",NA,NA
"813","Montana",27,"16-20",NA,NA
"814","West Virginia",25,"16-20",NA,NA
"815",NA,NA,"16-20","Bailey's Crossroads",NA
"816",NA,NA,"16-20","Golden Glades",NA
"817",NA,NA,"16-20","Newington",NA
"818",NA,NA,"16-20","Elizabeth",NA
"819",NA,NA,"16-20","Union City",NA
"820",NA,100,"16-20","Washington",NA
"821",NA,NA,"16-20","Chelsea",NA
"822",NA,NA,"16-20","Springfield",NA
"823",NA,NA,"16-20","Everett",NA
"824",NA,NA,"16-20","Perth Amboy",NA
"825",NA,NA,"16-20","Silver Spring",NA
"826",NA,NA,"16-20","Princeton Meadows",NA
"827",NA,NA,"16-20","White Oak",NA
"828",NA,NA,"16-20","Santa Cruz",NA
"829",NA,NA,"16-20","Irvington",NA
"830",NA,NA,"16-20","Doral",NA
"831",NA,NA,"16-20","Fairland",NA
"832",NA,NA,"16-20","Chillum",NA
"833",NA,NA,"16-20","Plainfield",NA
"834",NA,87,"16-20","Miami",NA
"835",NA,NA,"16-20","Wheaton-Glenmont",NA
"836",NA,NA,"16-20","Brentwood",NA
"837",NA,NA,"16-20","North Miami Beach",NA
"838",NA,NA,"16-20","Edison",NA
"839",NA,NA,"16-20","South Brunswick Township",NA
"840",NA,84,"16-20","Jersey City",NA
"841",NA,NA,"16-20","West New York",NA
"842",NA,NA,"16-20","Malden",NA
"843",NA,NA,"16-20","Moss Landing",NA
"844",NA,NA,"16-20","Huntington Park",NA
"845",NA,NA,"16-20","Berkeley",NA
"846",NA,NA,"16-20","North Miami",NA
"847",NA,NA,"16-20","Richmond",NA
"848",NA,81,"16-20","Newark",NA
"849",NA,NA,"16-20","Paterson",NA
"850",NA,NA,"16-20","Hempstead",NA
"851",NA,81,"16-20","Arlington",NA
"852",NA,NA,"16-20","South Miami Heights",NA
"853",NA,NA,"16-20","Greenacres",NA
"854",NA,81,"16-20","New York",NA
"855",NA,NA,"16-20","Bell Gardens",NA
"856",NA,NA,"16-20","East Orange",NA
"857",NA,NA,"16-20","Coral Gables",NA
"858",NA,NA,"16-20","Union City",NA
"859",NA,NA,"16-20","Alexandria",NA
"860",NA,NA,"16-20","Country Club",NA
"861",NA,NA,"16-20","Palm Springs",NA
"862",NA,NA,"16-20","Lynn",NA
"863",NA,NA,"16-20","La Homa",NA
"864",NA,NA,"16-20","Golden Gate",NA
"865",NA,NA,"16-20","Fontainebleau",NA
"866",NA,NA,"16-20","Passaic",NA
"867",NA,NA,"16-20","Woodbridge Township",NA
"868",NA,NA,"16-20","Albany",NA
"869",NA,NA,"16-20","Deerfield Beach",NA
"870",NA,NA,"16-20","Mission Bend",NA
"871",NA,NA,"16-20","Cicero",NA
"872",NA,NA,"16-20","Fairfax",NA
"873",NA,75,"16-20","Sunnyvale",NA
"874",NA,NA,"16-20","Salinas",NA
"875",NA,NA,"16-20","Framingham",NA
"876",NA,NA,"16-20","Danbury",NA
"877",NA,NA,"16-20","Paramount",NA
"878",NA,NA,"16-20","Mount Vernon",NA
"879",NA,74,"16-20","Oakland",NA
"880",NA,NA,"16-20","Princeton",NA
"881",NA,NA,"16-20","Miami Beach",NA
"882",NA,NA,"16-20","Bridgeport",NA
"883",NA,NA,"16-20","University Park",NA
"884",NA,NA,"16-20","Hayward",NA
"885",NA,73,"16-20","Boardman",NA
"886",NA,NA,"16-20","Somerville",NA
"887",NA,NA,"16-20","Oakland Park",NA
"888",NA,NA,"16-20","Key West",NA
"889",NA,NA,"16-20","Merrifield",NA
"890",NA,NA,"16-20","Norridge",NA
"891",NA,73,"16-20","Cambridge",NA
"892",NA,NA,"16-20","East Foothills",NA
"893",NA,72,"16-20","Newark",NA
"894",NA,NA,"16-20","Greenbelt",NA
"895",NA,NA,"16-20","Davis",NA
"896",NA,NA,"16-20","East Los Angeles",NA
"897",NA,NA,"16-20","College Park",NA
"898",NA,NA,"16-20","Union",NA
"899",NA,NA,"16-20","The Hammocks",NA
"900",NA,NA,"16-20","Annandale",NA
"901",NA,NA,"16-20","Gaithersburg",NA
"902",NA,NA,"16-20","Montgomery Village",NA
"903",NA,NA,"16-20","North Lauderdale",NA
"904",NA,71,"16-20","Irving",NA
"905",NA,NA,"16-20","Hollywood",NA
"906",NA,NA,"16-20","Hicksville",NA
"907",NA,NA,"16-20","Miami Lakes",NA
"908",NA,70,"16-20","Santa Ana",NA
"909",NA,NA,"16-20","San Gabriel",NA
"910",NA,70,"16-20","Fremont",NA
"911",NA,NA,"16-20","Herndon",NA
"912",NA,NA,"16-20","Margate",NA
"913",NA,NA,"16-20","Ceres",NA
"914",NA,NA,"16-20","Moraga",NA
"915",NA,NA,"16-20","South Plainfield",NA
"916",NA,NA,"16-20","Mount Vernon",NA
"917",NA,NA,"16-20","Pine Hills",NA
"918",NA,NA,"16-20","Sunrise",NA
"919",NA,NA,"16-20","El Monte",NA
"920",NA,NA,"16-20","Norcross",NA
"921",NA,NA,"16-20","Linden",NA
"922",NA,NA,"16-20","Marlborough",NA
"923",NA,NA,"16-20","South Gate",NA
"924",NA,NA,"16-20","Kendall West",NA
"925",NA,NA,"16-20","Seaside",NA
"926",NA,NA,"16-20","Manassas",NA
"927",NA,NA,"16-20","San Mateo",NA
"928",NA,NA,"16-20","South Laurel",NA
"929",NA,NA,"16-20","Lawrence",NA
"930",NA,NA,"16-20","Monterey Park",NA
"931",NA,NA,"16-20","Aventura",NA
"932",NA,NA,"16-20","Vernon Hills",NA
"933",NA,NA,"16-20","Peekskill",NA
"934",NA,NA,"16-20","Clarksburg",NA
"935",NA,NA,"16-20","Brownsville",NA
"936",NA,NA,"16-20","Potomac Falls",NA
"937",NA,NA,"16-20","Walnut",NA
"938",NA,NA,"16-20","Skokie",NA
"939",NA,NA,"16-20","Tamiami",NA
"940",NA,NA,"16-20","Sammamish",NA
"941",NA,NA,"16-20","Egypt Lake-Leto",NA
"942",NA,NA,"16-20","Stamford",NA
"943",NA,NA,"16-20","Lely Resort",NA
"944",NA,NA,"16-20","Homestead",NA
"945",NA,NA,"16-20","Mansfield",NA
"946",NA,NA,"16-20","Pomona",NA
"947",NA,NA,"16-20","Kent",NA
"948",NA,66,"16-20","Boston",NA
"949",NA,NA,"16-20","Woodbridge",NA
"950",NA,NA,"16-20","Plantation",NA
"951",NA,NA,"16-20","East Palo Alto",NA
"952",NA,NA,"16-20","Redmond",NA
"953",NA,NA,"16-20","Stanton",NA
"954",NA,NA,"16-20","Hackensack",NA
"955",NA,NA,"16-20","Chamblee",NA
"956",NA,66,"16-20","Hialeah",NA
"957",NA,NA,"16-20","West Windsor Township",NA
"958",NA,NA,"16-20","Montebello",NA
"959",NA,NA,"16-20","Bethesda",NA
"960",NA,NA,"16-20","Princeton",NA
"961",NA,65,"16-20","Fort Lauderdale",NA
"962",NA,NA,"16-20","Lilburn",NA
"963",NA,NA,"16-20","Wellesley",NA
"964",NA,NA,"16-20","Worcester",NA
"965",NA,NA,"16-20","Lawrence Township",NA
"966",NA,NA,"16-20","Concord",NA
"967",NA,NA,"16-20","Trenton",NA
"968",NA,NA,"16-20","Sterling",NA
"969",NA,NA,"16-20","Fullerton",NA
"970",NA,NA,"16-20","Evanston",NA
"971",NA,NA,"16-20","Mineola",NA
"972",NA,NA,"16-20","Northampton",NA
"973",NA,NA,"16-20","Mountain House",NA
"974",NA,NA,"16-20","Daly City",NA
"975",NA,NA,"16-20","Nanuet",NA
"976",NA,NA,"16-20","Merced",NA
"977",NA,NA,"16-20","Montclair",NA
"978",NA,NA,"16-20","Coconut Creek",NA
"979",NA,NA,"16-20","Pasadena",NA
"980",NA,NA,"16-20","New Rochelle",NA
"981",NA,NA,"16-20","West Palm Beach",NA
"982",NA,NA,"16-20","North Decatur",NA
"983",NA,NA,"16-20","Redwood City",NA
"984",NA,NA,"16-20","Wheeling",NA
"985",NA,NA,"16-20","Newton",NA
"986",NA,NA,"16-20","Los Altos",NA
"987",NA,63,"16-20","Leesburg",NA
"988",NA,NA,"16-20","Dulles",NA
"989",NA,NA,"16-20","Coral Springs",NA
"990",NA,NA,"16-20","New Haven",NA
"991",NA,NA,"16-20","Pittsburg",NA
"992",NA,NA,"16-20","Rosemead",NA
"993",NA,NA,"16-20","Glendale",NA
"994",NA,NA,"16-20","Palo Alto",NA
"995",NA,NA,"16-20","Compton",NA
"996",NA,NA,"16-20","Brookline",NA
"997",NA,NA,"16-20","Des Plaines",NA
"998",NA,NA,"16-20","Hartford",NA
"999",NA,NA,"16-20","Miramar",NA
"1000",NA,NA,"16-20","Bellevue",NA
"1001",NA,NA,"16-20","Berwyn",NA
"1002",NA,NA,"16-20","Amherst",NA
"1003",NA,NA,"16-20","Tarrytown",NA
"1004",NA,NA,"16-20","Piscataway Township",NA
"1005",NA,NA,"16-20","Tucker",NA
"1006",NA,62,"16-20","Chula Vista",NA
"1007",NA,NA,"16-20","Medley",NA
"1008",NA,NA,"16-20","Franklin Township",NA
"1009",NA,NA,"16-20","White Plains",NA
"1010",NA,NA,"16-20","North Bethesda",NA
"1011",NA,NA,"16-20","Oxnard",NA
"1012",NA,NA,"16-20","Pompano Beach",NA
"1013",NA,NA,"16-20","Duluth",NA
"1014",NA,NA,"16-20","San Bruno",NA
"1015","District of Columbia",100,"20-24",NA,NA
"1016","Florida",71,"20-24",NA,NA
"1017","New Jersey",65,"20-24",NA,NA
"1018","New York",65,"20-24",NA,NA
"1019","Massachusetts",64,"20-24",NA,NA
"1020","Texas",64,"20-24",NA,NA
"1021","California",61,"20-24",NA,NA
"1022","Connecticut",61,"20-24",NA,NA
"1023","Maryland",57,"20-24",NA,NA
"1024","Washington",56,"20-24",NA,NA
"1025","Nevada",55,"20-24",NA,NA
"1026","Illinois",55,"20-24",NA,NA
"1027","Rhode Island",54,"20-24",NA,NA
"1028","Virginia",53,"20-24",NA,NA
"1029","Arizona",50,"20-24",NA,NA
"1030","New Mexico",46,"20-24",NA,NA
"1031","Utah",46,"20-24",NA,NA
"1032","Minnesota",45,"20-24",NA,NA
"1033","North Carolina",45,"20-24",NA,NA
"1034","Georgia",45,"20-24",NA,NA
"1035","Delaware",45,"20-24",NA,NA
"1036","Colorado",44,"20-24",NA,NA
"1037","Oregon",43,"20-24",NA,NA
"1038","Hawaii",42,"20-24",NA,NA
"1039","Kansas",42,"20-24",NA,NA
"1040","Iowa",41,"20-24",NA,NA
"1041","Nebraska",40,"20-24",NA,NA
"1042","Pennsylvania",40,"20-24",NA,NA
"1043","Vermont",40,"20-24",NA,NA
"1044","Oklahoma",39,"20-24",NA,NA
"1045","Indiana",39,"20-24",NA,NA
"1046","Maine",38,"20-24",NA,NA
"1047","Louisiana",38,"20-24",NA,NA
"1048","South Carolina",38,"20-24",NA,NA
"1049","Wisconsin",37,"20-24",NA,NA
"1050","Michigan",36,"20-24",NA,NA
"1051","Idaho",36,"20-24",NA,NA
"1052","New Hampshire",36,"20-24",NA,NA
"1053","Tennessee",36,"20-24",NA,NA
"1054","Ohio",34,"20-24",NA,NA
"1055","Kentucky",34,"20-24",NA,NA
"1056","North Dakota",34,"20-24",NA,NA
"1057","Wyoming",34,"20-24",NA,NA
"1058","Missouri",33,"20-24",NA,NA
"1059","Arkansas",33,"20-24",NA,NA
"1060","Alaska",32,"20-24",NA,NA
"1061","South Dakota",32,"20-24",NA,NA
"1062","Alabama",32,"20-24",NA,NA
"1063","Mississippi",31,"20-24",NA,NA
"1064","West Virginia",29,"20-24",NA,NA
"1065","Montana",27,"20-24",NA,NA
"1066",NA,NA,"20-24","Golden Glades",NA
"1067",NA,NA,"20-24","Coral Terrace",NA
"1068",NA,NA,"20-24","Elizabeth",NA
"1069",NA,NA,"20-24","Oak Ridge",NA
"1070",NA,NA,"20-24","Pinewood",NA
"1071",NA,NA,"20-24","Harrison",NA
"1072",NA,NA,"20-24","Fontainebleau",NA
"1073",NA,NA,"20-24","Union City",NA
"1074",NA,NA,"20-24","South Miami Heights",NA
"1075",NA,NA,"20-24","Golden Gate",NA
"1076",NA,NA,"20-24","Everett",NA
"1077",NA,NA,"20-24","Chillum",NA
"1078",NA,NA,"20-24","Irvington",NA
"1079",NA,100,"20-24","Miami",NA
"1080",NA,99,"20-24","Newark",NA
"1081",NA,NA,"20-24","Doral",NA
"1082",NA,NA,"20-24","Miami Springs",NA
"1083",NA,NA,"20-24","Miami Shores",NA
"1084",NA,NA,"20-24","Paterson",NA
"1085",NA,NA,"20-24","Brentwood",NA
"1086",NA,NA,"20-24","Hempstead",NA
"1087",NA,NA,"20-24","North Miami Beach",NA
"1088",NA,NA,"20-24","Lynn",NA
"1089",NA,NA,"20-24","Kendall West",NA
"1090",NA,94,"20-24","Hialeah",NA
"1091",NA,NA,"20-24","Aubrey",NA
"1092",NA,NA,"20-24","Egypt Lake-Leto",NA
"1093",NA,NA,"20-24","Palm Springs",NA
"1094",NA,NA,"20-24","Elmont",NA
"1095",NA,NA,"20-24","Perth Amboy",NA
"1096",NA,NA,"20-24","Hallandale Beach",NA
"1097",NA,NA,"20-24","White Oak",NA
"1098",NA,NA,"20-24","Vienna",NA
"1099",NA,NA,"20-24","Malden",NA
"1100",NA,NA,"20-24","Kearny",NA
"1101",NA,NA,"20-24","Lauderhill",NA
"1102",NA,NA,"20-24","Homestead",NA
"1103",NA,NA,"20-24","Country Club",NA
"1104",NA,NA,"20-24","The Hammocks",NA
"1105",NA,NA,"20-24","North Miami",NA
"1106",NA,NA,"20-24","Miami Gardens",NA
"1107",NA,NA,"20-24","Tamiami",NA
"1108",NA,NA,"20-24","Lawrence",NA
"1109",NA,87,"20-24","Washington",NA
"1110",NA,NA,"20-24","Silver Spring",NA
"1111",NA,NA,"20-24","Three Lakes",NA
"1112",NA,NA,"20-24","Greenacres",NA
"1113",NA,NA,"20-24","University Park",NA
"1114",NA,NA,"20-24","Kendale Lakes",NA
"1115",NA,NA,"20-24","Wheaton-Glenmont",NA
"1116",NA,NA,"20-24","Danbury",NA
"1117",NA,NA,"20-24","Princeton",NA
"1118",NA,NA,"20-24","Huntington Park",NA
"1119",NA,NA,"20-24","Medley",NA
"1120",NA,NA,"20-24","Sunrise",NA
"1121",NA,NA,"20-24","Kissimmee",NA
"1122",NA,NA,"20-24","Passaic",NA
"1123",NA,NA,"20-24","Eagle Pass",NA
"1124",NA,NA,"20-24","North Lauderdale",NA
"1125",NA,NA,"20-24","Coral Gables",NA
"1126",NA,NA,"20-24","Del Rio",NA
"1127",NA,80,"20-24","Jersey City",NA
"1128",NA,NA,"20-24","Framingham",NA
"1129",NA,NA,"20-24","San Gabriel",NA
"1130",NA,NA,"20-24","Union City",NA
"1131",NA,NA,"20-24","Mission Bend",NA
"1132",NA,NA,"20-24","Fairfax",NA
"1133",NA,NA,"20-24","Rowland Heights",NA
"1134",NA,NA,"20-24","Hollywood",NA
"1135",NA,NA,"20-24","South Brunswick Township",NA
"1136",NA,NA,"20-24","Marlborough",NA
"1137",NA,NA,"20-24","Randolph",NA
"1138",NA,NA,"20-24","East Hill-Meridian",NA
"1139",NA,NA,"20-24","Plainfield",NA
"1140",NA,NA,"20-24","Miami Beach",NA
"1141",NA,NA,"20-24","Deerfield Beach",NA
"1142",NA,NA,"20-24","Pasco",NA
"1143",NA,NA,"20-24","Key West",NA
"1144",NA,NA,"20-24","Herndon",NA
"1145",NA,NA,"20-24","Beltsville",NA
"1146",NA,NA,"20-24","Hartford",NA
"1147",NA,NA,"20-24","Alexandria",NA
"1148",NA,NA,"20-24","Cicero",NA
"1149",NA,NA,"20-24","Margate",NA
"1150",NA,NA,"20-24","Hicksville",NA
"1151",NA,74,"20-24","Fort Lauderdale",NA
"1152",NA,NA,"20-24","Pine Hills",NA
"1153",NA,NA,"20-24","East Orange",NA
"1154",NA,NA,"20-24","Roselle Park",NA
"1155",NA,NA,"20-24","Lehigh Acres",NA
"1156",NA,NA,"20-24","East Foothills",NA
"1157",NA,NA,"20-24","Edison",NA
"1158",NA,NA,"20-24","Northlake",NA
"1159",NA,NA,"20-24","Norcross",NA
"1160",NA,NA,"20-24","Aventura",NA
"1161",NA,NA,"20-24","Uniondale",NA
"1162",NA,NA,"20-24","Coconut Creek",NA
"1163",NA,72,"20-24","Irving",NA
"1164",NA,NA,"20-24","Lilburn",NA
"1165",NA,NA,"20-24","Town 'n' Country",NA
