Category: All categories

DMA,immigration: (11/8/16 - 11/3/20)
Alexandria LA,31
Minot-Bismarck-Dickinson(Williston) ND,31
Jackson MS,31
North Platte NE,31
Butte-Bozeman MT,31
Macon GA,31
Greenwood-Greenville MS,31
Flint-Saginaw-Bay City MI,31
Marquette MI,31
Panama City FL,30
Missoula MT,30
Jackson TN,30
Rapid City SD,29
"Billings, MT",28
Biloxi-Gulfport MS,28
Duluth MN-Superior WI,28
Monroe LA-El Dorado AR,28
Erie PA,28
Hattiesburg-Laurel MS,27
Terre Haute IN,27
Dothan AL,27
Augusta GA,27
Evansville IN,27
Columbus-Tupelo-West Point MS,26
Great Falls MT,25
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,25
Lima OH,25
Quincy IL-Hannibal MO-Keokuk IA,25
Traverse City-Cadillac MI,25
Alpena MI,25
Lafayette LA,24
Tri-Cities TN-VA,23
Wheeling WV-Steubenville OH,23
Youngstown OH,23
Charleston-Huntington WV,23
Clarksburg-Weston WV,21
Bluefield-Beckley-Oak Hill WV,20
Parkersburg WV,20
Glendive MT,18
Zanesville OH,17
