Category: All categories

DMA,immigration: (11/8/16 - 11/3/20)
Washington DC (Hagerstown MD),100
Miami-Ft. Lauderdale FL,98
San Francisco-Oakland-San Jose CA,87
New York NY,87
Monterey-Salinas CA,83
West Palm Beach-Ft. Pierce FL,81
Houston TX,80
Harlingen-Weslaco-Brownsville-McAllen TX,80
Fresno-Visalia CA,76
El Paso TX,75
Chicago IL,73
Seattle-Tacoma WA,72
Los Angeles CA,71
San Diego CA,70
Boston MA-Manchester NH,70
Ft. Myers-Naples FL,69
Yuma AZ-El Centro CA,68
Dallas-Ft. Worth TX,68
Las Vegas NV,67
Austin TX,67
Bakersfield CA,66
Palm Springs CA,65
Sacramento-Stockton-Modesto CA,64
Santa Barbara-Santa Maria-San Luis Obispo CA,63
San Antonio TX,62
Hartford & New Haven CT,61
Yakima-Pasco-Richland-Kennewick WA,61
Denver CO,61
Tucson (Sierra Vista) AZ,61
Philadelphia PA,59
Baltimore MD,58
Orlando-Daytona Beach-Melbourne FL,58
Laredo TX,58
Amarillo TX,58
Portland OR,57
Charlottesville VA,57
Odessa-Midland TX,56
Sioux City IA,56
Phoenix AZ,55
Waco-Temple-Bryan TX,54
Providence RI-New Bedford MA,54
Springfield-Holyoke MA,53
Lincoln & Hastings-Kearney NE,53
Reno NV,53
Gainesville FL,53
Honolulu HI,53
Lafayette IN,52
Richmond-Petersburg VA,52
Atlanta GA,52
Minneapolis-St. Paul MN,52
Twin Falls ID,51
Lubbock TX,51
Des Moines-Ames IA,51
Ft. Smith-Fayetteville-Springdale-Rogers AR,50
Raleigh-Durham (Fayetteville) NC,50
Charlotte NC,50
Tampa-St. Petersburg (Sarasota) FL,50
Madison WI,50
Salt Lake City UT,50
Indianapolis IN,49
Albany-Schenectady-Troy NY,49
Wichita-Hutchinson KS,48
Mankato MN,48
Columbus OH,48
Albuquerque-Santa Fe NM,48
Omaha NE,48
Detroit MI,47
Burlington VT-Plattsburgh NY,47
Greensboro-High Point-Winston Salem NC,47
Jacksonville FL,46
Tyler-Longview(Lufkin & Nacogdoches) TX,46
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,46
Corpus Christi TX,46
Ottumwa IA-Kirksville MO,46
Portland-Auburn ME,46
Juneau AK,45
Kansas City MO,45
South Bend-Elkhart IN,45
Milwaukee WI,45
Peoria-Bloomington IL,45
Champaign & Springfield-Decatur IL,45
Harrisonburg VA,44
Eugene OR,44
Syracuse NY,44
Lansing MI,44
Oklahoma City OK,44
Tallahassee FL-Thomasville GA,44
Boise ID,44
Memphis TN,43
Colorado Springs-Pueblo CO,43
Harrisburg-Lancaster-Lebanon-York PA,43
Eureka CA,43
Tulsa OK,43
Anchorage AK,43
Victoria TX,42
Chico-Redding CA,42
San Angelo TX,42
Grand Junction-Montrose CO,41
Buffalo NY,41
Rochester NY,41
Columbia SC,41
Louisville KY,41
Salisbury MD,41
Rochester MN-Mason City IA-Austin MN,41
Idaho Falls-Pocatello ID,41
Cincinnati OH,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Grand Rapids-Kalamazoo-Battle Creek MI,40
Topeka KS,40
Charleston SC,40
New Orleans LA,39
Binghamton NY,39
Green Bay-Appleton WI,39
Spokane WA,39
Utica NY,39
Nashville TN,38
Fairbanks AK,38
Sioux Falls(Mitchell) SD,38
Norfolk-Portsmouth-Newport News VA,38
Savannah GA,38
La Crosse-Eau Claire WI,38
Abilene-Sweetwater TX,38
Chattanooga TN,37
Presque Isle ME,37
Davenport IA-Rock Island-Moline IL,37
Pittsburgh PA,37
Baton Rouge LA,37
Lexington KY,37
Fargo-Valley City ND,36
Roanoke-Lynchburg VA,36
Beaumont-Port Arthur TX,36
St. Louis MO,36
Bowling Green KY,36
Montgomery (Selma) AL,36
Cleveland-Akron (Canton) OH,36
Bend OR,36
Columbia-Jefferson City MO,35
Watertown NY,35
Huntsville-Decatur (Florence) AL,35
St. Joseph MO,35
Wilkes Barre-Scranton PA,35
Knoxville TN,35
Birmingham AL,34
Cheyenne WY-Scottsbluff NE,34
Wilmington NC,34
Shreveport LA,34
Helena MT,34
Casper-Riverton WY,34
Wichita Falls TX & Lawton OK,34
Dayton OH,34
Rockford IL,34
Florence-Myrtle Beach SC,34
Sherman TX-Ada OK,34
Greenville-New Bern-Washington NC,34
Johnstown-Altoona PA,33
Columbus GA,33
Little Rock-Pine Bluff AR,33
Joplin MO-Pittsburg KS,33
Jonesboro AR,33
Albany GA,33
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Meridian MS,33
Wausau-Rhinelander WI,33
Lake Charles LA,33
Toledo OH,33
Medford-Klamath Falls OR,32
Bangor ME,32
Ft. Wayne IN,32
Springfield MO,32
Elmira NY,32
